"","E_58_10382","E_71_7760","E_71_9958","E_71_9959","E_84_1104","E_89_1027","E_89_1027B","E_89_1028","E_89_1029","E_90_925","E_90_926","E_92_931","E_92_932","E_92_933","E_94_10462","E_94_10463","E_95_930","E_98_927","E_98_928","S_02_9952","S_02_9953","S_05_829","S_05_829B","S_05_830","S_05_831","S_05_832","S_07_810","S_07_817","S_07_818","S_07_819","S_23_7387","S_24_851","S_24_852","S_24_853","S_24_854","S_27_816","S_31_6083","S_33_8366","S_33_8367","S_33_8368","S_34_8369","S_34_8372","S_50_824","S_50_825","S_50_826","S_53_465","S_54_803","S_54_804","S_54_805","S_99_855","S_99_856","S_99_857","W_26_6364","W_26_6365","W_44_934","W_45_10195","W_45_10195B","W_65_1775","W_66_941","W_66_941B","W_66_941C","W_66_942","W_67_10250","W_67_10251","W_67_10253","W_79_838","W_79_840","W_79_843","W_79_844","W_79_845","W_83_6366","W_88_935"
"E_58_10382",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_7760",0.165359513477437,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_9958",0.146500616964691,0.0918666072434112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_71_9959",0.187552216664551,0.0900122249820221,0.085054991824825,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_84_1104",0.167634123804153,0.148121637314181,0.157563523419864,0.184409454352426,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1027",0.15643365545957,0.230590360166094,0.229022960763408,0.257325019069014,0.168592642096013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1027B",0.152049340502722,0.228157265340508,0.224587863267149,0.25285318755358,0.169954618238978,0.00243309482558644,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1028",0.179799706538694,0.234219953634776,0.222702223378923,0.269097883230452,0.146211202007694,0.113151939850612,0.112522272024176,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_89_1029",0.165178510236575,0.231421310288616,0.208135386931288,0.241953267207363,0.163998457092298,0.112351299167125,0.109918204341538,0.110801535897815,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_90_925",0.178612969248913,0.239027335714164,0.235453917584612,0.251585440269963,0.156261322461694,0.110354174351611,0.111518205706874,0.115985770490966,0.113391407353452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_90_926",0.172990420041162,0.231398767779547,0.209989447577857,0.237930719364948,0.175099070824103,0.115562055918229,0.118588483297542,0.123010182983982,0.114963133779728,0.105791038163152,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_931",0.190157364958796,0.216439548480122,0.189305368105429,0.219015193152565,0.143534043547647,0.132333575203064,0.129900480377478,0.110415219574189,0.116887338219782,0.109404625010798,0.118354282662138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_932",0.16953930553617,0.21210087246572,0.183556885364832,0.208984209501819,0.175821683683628,0.121982689892391,0.119549595066805,0.127614286031747,0.105268826361484,0.128413646713595,0.111960666731474,0.112012665022449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_92_933",0.163219645751242,0.223468982098121,0.223883743899427,0.235971195529816,0.17531933271678,0.117771366636464,0.120787876578442,0.132502206630933,0.129875081421412,0.131475082786747,0.127679018105031,0.113244346941281,0.11958034075474,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E_94_10462",0.153343422657366,0.215493859939882,0.194394589619951,0.237930719364948,0.163735312173788,0.117378586844627,0.116765328736026,0.130309485465594,0.114963133779728,0.140308543045866,0.127319478021352,0.127570937767061,0.137416586724823,0.136861819087366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
